0,311.35441687054185
1,320.37690965651143
2,322.3973647124848
3,326.7805530190868
4,329.5778598236989
5,321.6967573124587
6,314.02228380495126
7,69.95358627104585
8,310.40648415800115
9,317.5557426759054
10,358.6848009717383
11,405.96270393046296
12,412.36928232204207
13,387.67263673835726
14,390.5296448345814
15,196.85215476777913
16,368.16273249903793
17,362.0195186341287
18,369.4983830195965
19,369.61894320815526
20,372.98123444352734
21,376.6163629231706
22,363.756200158519
23,353.42021484430256
24,70.74874779525541
